"Date of Download: 2023-06-08_18:44:58"
"Search Parameters: Data Level:all  Trait List:  Trial List:11382,11426,11456,11457,10546,10547  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","non marketable root number counting|CO_334:0000168","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","166651","GM214-62","","plot","4826298","202070CQPEA_boli_rep1_GM214-62_2","1","1","2","2","1","test","","2","41.2604655493482","57.6","74.92","27.1","37.46","1","5","1","76","35.74","","16","20","2","337.2","21","5","2","1","1","2","91","3110","425","0","20","1","2","1","1"," (Operator: lizbethpino, Time: ), Ramificación baja (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323528","GM3594-70","","plot","4826316","202070CQPEA_boli_rep1_GM3594-70_4","1","1","4","4","1","test","","5","36.8647442680776","36.2","31.88","16.98","15.94","1","5","1","36","15.26","","13","20","3","394","26.8","5","2","1","4","3","44","3205","370","0","20","2","4","2","5"," (Operator: lizbethpino, Time: ), Plantas altas de mucha ramificación extendida en el tercio medio (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","322010","GM3650-51","","plot","4826301","202070CQPEA_boli_rep1_GM3650-51_6","1","1","6","5","2","test","","5","33.8910622710623","112.25","50.52","30.7","25.26","1","5","1","35","22.34","","16","20","2","359.75","17.5","5","2","1","2","3","49","3035","305","0","18","2","2","1","6","Muchas ramificación con alta retención de  hojas (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","309095","GM3790-2","","plot","4826292","202070CQPEA_boli_rep1_GM3790-2_5","1","1","5","5","1","test","","3","38.6980994671403","156.8","54.12","19.08","27.06","1","5","1","47","23.18","","14","20","1","326","20.6","5","2","1","2","2","71","3215","400","0","19","2","2","1","3"," (Operator: lizbethpino, Time: ), Pocas raíces por planta, algunas cortas y otras largas (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","2486737","P13","","plot","4826315","202070CQPEA_boli_rep1_P13_7","1","1","7","4","2","check","","3","36.4194604316547","59.4","60.32","15.02","30.16","1","4","1","54","26.7","","10","20","4","264.8","45.2","5","3","1","2","2","81","3135","355","0","20","2","2","1","1"," (Operator: lizbethpino, Time: ), Plantas de porte bajo, ramificación baja y extendida (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","54056","PER183","","plot","4826287","202070CQPEA_boli_rep1_PER183_1","1","1","1","1","1","test","","4","33.3113553113553","77.8","69.16","26.46","34.58","1","3","1","45","33.4","","14","20","3","369.4","28.6","5","3","1","1","2","51","3025","295","0","19","2","3","1","1"," (Operator: lizbethpino, Time: ), Raíces muy gruesas, no comerciales (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","140368","SM1127-8","","plot","4826304","202070CQPEA_boli_rep1_SM1127-8_3","1","1","3","3","1","test","","3","37.3287149917627","146","62.72","24.8","31.36","1","5","1","58","29.26","","11","20","1","323","16.6","5","1","1","2","2","81","3440","405","0","20","2","2","1","1"," (Operator: lizbethpino, Time: ), Ramificación alta de porte erecto (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","211877","SM3106-14","","plot","4826305","202070CQPEA_boli_rep1_SM3106-14_10","1","1","10","1","2","test","","2","40.2292242833052","83.2","62.36","31.56","31.18","2","5","1","52","28.64","","19","20","3","366.8","20.2","5","2","1","1","2","68","3415","450","0","20","2","2","2","1"," (Operator: lizbethpino, Time: ), Tallos grusos, muy ramificada, ramificación baja, raíz de media a corta apta para el consumo. Tricotómica (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","310088","SM3553-27","","plot","4826300","202070CQPEA_boli_rep1_SM3553-27_8","1","1","8","3","2","test","","1","40.7774368231047","256.6","41.32","33.4","20.66","1","4","1","35","17.32","","33","20","2","372.8","24.4","5","2","1","2","2","53","3200","430","0","20","3","2","1","1"," (Operator: lizbethpino, Time: ), Plantas altas de tallo grueso (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10546","202070CQPEA_boli","202070CQPEA_boli","RCBD","4","5","","no","no","2020-October-19","2021-November-22","454","Bolivar","323155","SM3677-74","","plot","4826309","202070CQPEA_boli_rep1_SM3677-74_9","1","1","9","2","2","test","","3","35.7039384116694","147.2","46.72","24.72","23.36","1","5","1","46","18.26","","16","20","1","353","34","5","2","1","3","3","81","3465","380","0","20","2","4","1","5"," (Operator: lizbethpino, Time: ), Plantas muy ramificadas de tallo grueso (Operator: lizbethpino, Time: )"
