"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","root_number_commercial","root_weight_commercial","root_number_non_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_rot_perc"
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_GM214-62_2",1,2,2,1,"test"," (Operator: lizbethpino, Time: ), Ramificación baja (Operator: lizbethpino, Time: )","GM214-62","test",NA,NA,NA,NA,NA,NA,NA,2,41.2604655493482,57.6,74.92,27.1,37.46,1,5,1,76,35.74,NA,16,20,2,337.2,21,5,2,1,1,2,91,3110,425,0,20,1,2,1,1,5,100,74.92,30.9123407895717,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_GM3594-70_4",1,4,4,1,"test"," (Operator: lizbethpino, Time: ), Plantas altas de mucha ramificación extendida en el tercio medio (Operator: lizbethpino, Time: )","GM3594-70","test",NA,NA,NA,NA,NA,NA,NA,5,36.8647442680776,36.2,31.88,16.98,15.94,1,5,1,36,15.26,NA,13,20,3,394,26.8,5,2,1,4,3,44,3205,370,0,20,2,4,2,5,5,100,31.88,11.7524804726631,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_GM3650-51_6",1,6,5,2,"test","Muchas ramificación con alta retención de  hojas (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","GM3650-51","test",NA,NA,NA,NA,NA,NA,NA,5,33.8910622710623,112.25,50.52,30.7,25.26,1,5,1,35,22.34,NA,16,20,2,359.75,17.5,5,2,1,2,3,49,3035,305,0,18,2,2,1,6,5,90,50.52,17.1217646593407,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_GM3790-2_5",1,5,5,1,"test"," (Operator: lizbethpino, Time: ), Pocas raíces por planta, algunas cortas y otras largas (Operator: lizbethpino, Time: )","GM3790-2","test",NA,NA,NA,NA,NA,NA,NA,3,38.6980994671403,156.8,54.12,19.08,27.06,1,5,1,47,23.18,NA,14,20,1,326,20.6,5,2,1,2,2,71,3215,400,0,19,2,2,1,3,5,95,54.12,20.9434114316163,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_P13_7",1,7,4,2,"check"," (Operator: lizbethpino, Time: ), Plantas de porte bajo, ramificación baja y extendida (Operator: lizbethpino, Time: )","P13","test",NA,NA,NA,NA,NA,NA,NA,3,36.4194604316547,59.4,60.32,15.02,30.16,1,4,1,54,26.7,NA,10,20,4,264.8,45.2,5,3,1,2,2,81,3135,355,0,20,2,2,1,1,5,100,60.32,21.9682185323741,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_PER183_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: ), Raíces muy gruesas, no comerciales (Operator: lizbethpino, Time: )","PER183","test",NA,NA,NA,NA,NA,NA,NA,4,33.3113553113553,77.8,69.16,26.46,34.58,1,3,1,45,33.4,NA,14,20,3,369.4,28.6,5,3,1,1,2,51,3025,295,0,19,2,3,1,1,5,95,69.16,23.0381333333333,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_SM1127-8_3",1,3,3,1,"test"," (Operator: lizbethpino, Time: ), Ramificación alta de porte erecto (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",NA,NA,NA,NA,NA,NA,NA,3,37.3287149917627,146,62.72,24.8,31.36,1,5,1,58,29.26,NA,11,20,1,323,16.6,5,1,1,2,2,81,3440,405,0,20,2,2,1,1,5,100,62.72,23.4125700428336,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_SM3106-14_10",1,10,1,2,"test"," (Operator: lizbethpino, Time: ), Tallos grusos, muy ramificada, ramificación baja, raíz de media a corta apta para el consumo. Tricotómica (Operator: lizbethpino, Time: )","SM3106-14","test",NA,NA,NA,NA,NA,NA,NA,2,40.2292242833052,83.2,62.36,31.56,31.18,2,5,1,52,28.64,NA,19,20,3,366.8,20.2,5,2,1,1,2,68,3415,450,0,20,2,2,2,1,5,100,62.36,25.0869442630691,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_SM3553-27_8",1,8,3,2,"test"," (Operator: lizbethpino, Time: ), Plantas altas de tallo grueso (Operator: lizbethpino, Time: )","SM3553-27","test",NA,NA,NA,NA,NA,NA,NA,1,40.7774368231047,256.6,41.32,33.4,20.66,1,4,1,35,17.32,NA,33,20,2,372.8,24.4,5,2,1,2,2,53,3200,430,0,20,3,2,1,1,5,100,41.32,16.8492368953069,0
2020,"202070CQPEA_boli","202070CQPEA_boli",4,5,"2020-October-19","2021-November-22","Bolivar",NA,"202070CQPEA_boli_rep1_SM3677-74_9",1,9,2,2,"test"," (Operator: lizbethpino, Time: ), Plantas muy ramificadas de tallo grueso (Operator: lizbethpino, Time: )","SM3677-74","test",NA,NA,NA,NA,NA,NA,NA,3,35.7039384116694,147.2,46.72,24.72,23.36,1,5,1,46,18.26,NA,16,20,1,353,34,5,2,1,3,3,81,3465,380,0,20,2,4,1,5,5,100,46.72,16.6808800259319,0
